zip,type,primary_city,state,county,timezone,area_codes,latitude,longitude,irs_estimated_population
99154,STANDARD,Mohler,WA,Lincoln County,America/Los_Angeles,509,47.36,-118.35,0
99156,STANDARD,Newport,WA,Pend Oreille County,America/Los_Angeles,509,48.15,-117.24,7500
99157,STANDARD,Northport,WA,Stevens County,America/Los_Angeles,509,48.93,-117.77,630
99158,STANDARD,Oakesdale,WA,Whitman County,America/Los_Angeles,509,47.12,-117.25,550
99159,STANDARD,Odessa,WA,Lincoln County,America/Los_Angeles,509,47.34,-118.66,1130
99160,STANDARD,Orient,WA,Ferry County,America/Los_Angeles,509,48.84,-118.31,142
99161,STANDARD,Palouse,WA,Whitman County,America/Los_Angeles,509,46.88,-117.15,1340
99163,STANDARD,Pullman,WA,Whitman County,America/Los_Angeles,509,46.72,-117.18,17720
99165,STANDARD,Pullman,WA,Whitman County,America/Los_Angeles,509,46.73,-117.17,20
99166,STANDARD,Republic,WA,Ferry County,America/Los_Angeles,509,48.59,-118.7,2420
99167,STANDARD,Rice,WA,Stevens County,America/Los_Angeles,509,48.42,-118.11,610
99169,STANDARD,Ritzville,WA,Adams County,America/Los_Angeles,509,47.07,-118.47,2180
99170,STANDARD,Rosalia,WA,Whitman County,America/Los_Angeles,509,47.25,-117.38,940
99171,STANDARD,Saint John,WA,Whitman County,America/Los_Angeles,509,47.1,-117.64,880
99173,STANDARD,Springdale,WA,Stevens County,America/Los_Angeles,509,48.02,-117.85,1520
99176,STANDARD,Thornton,WA,Whitman County,America/Los_Angeles,509,47.09,-117.39,175
99179,STANDARD,Uniontown,WA,Whitman County,America/Los_Angeles,509,46.51,-117.13,460
99180,STANDARD,Usk,WA,Pend Oreille County,America/Los_Angeles,509,48.3,-117.36,1080
99181,STANDARD,Valley,WA,Stevens County,America/Los_Angeles,509,48.14,-117.76,1720
99185,STANDARD,Wilbur,WA,Lincoln County,America/Los_Angeles,509,47.72,-118.7,1290
99201,STANDARD,Spokane,WA,Spokane County,America/Los_Angeles,509,47.66,-117.43,9730
99202,STANDARD,Spokane,WA,Spokane County,America/Los_Angeles,509,47.65,-117.37,13970
99203,STANDARD,Spokane,WA,Spokane County,America/Los_Angeles,509,47.62,-117.4,19860
99204,STANDARD,Spokane,WA,Spokane County,America/Los_Angeles,509,47.65,-117.43,5210
99205,STANDARD,Spokane,WA,Spokane County,America/Los_Angeles,509,47.69,-117.45,37380
99206,STANDARD,Spokane,WA,Spokane County,America/Los_Angeles,509,47.63,-117.25,34690
99207,STANDARD,Spokane,WA,Spokane County,America/Los_Angeles,509,47.69,-117.38,25280
99208,STANDARD,Spokane,WA,Spokane County,America/Los_Angeles,509,47.78,-117.45,51880
99212,STANDARD,Spokane,WA,Spokane County,America/Los_Angeles,509,47.65,-117.31,18540
99216,STANDARD,Spokane,WA,Spokane County,America/Los_Angeles,509,47.69,-117.19,23360
99217,STANDARD,Spokane,WA,Spokane County,America/Los_Angeles,509,47.74,-117.25,16920
99218,STANDARD,Spokane,WA,Spokane County,America/Los_Angeles,509,47.75,-117.43,12890
99223,STANDARD,Spokane,WA,Spokane County,America/Los_Angeles,509,47.59,-117.35,30660
99224,STANDARD,Spokane,WA,Spokane County,America/Los_Angeles,509,47.63,-117.55,21020
99301,STANDARD,Pasco,WA,Franklin County,America/Los_Angeles,509,46.41,-118.9,81080
99320,STANDARD,Benton City,WA,Benton County,America/Los_Angeles,509,46.24,-119.49,9210
99321,STANDARD,Beverly,WA,Grant County,America/Los_Angeles,509,46.87,-119.81,1180
